# set_id,truong-vocab-set-30
# title,Truong Vocabulary Set 30
# description,Truong vocabulary practice words from set 30.
# theme,Truong Vocabulary
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Explain,Learning & Research,To make an idea easier to understand,clarify describe,K,easy,Nora used a picture to explain how she solved the problem.
Question,Learning & Research,Something asked to gain information,inquiry query,K,easy,Milo asked a question about the moon.
Analyze,Learning & Research,To look closely at parts or details so you can understand something better,examine study,3,hard,We analyze the pattern to figure out what comes next.
Conclude,Learning & Research,To decide what is most likely true after thinking about clues or evidence,decide determine,2,medium,"From the wet sidewalk, we conclude that it probably rained."
Evaluate,Learning & Research,To judge how well something works or how strong an idea is using reasons or evidence,judge assess,3,hard,We evaluate each design to decide which one works best.
Infer,Learning & Research,To figure something out using clues and what you already know,deduce conclude,2,medium,We infer that it rained because the sidewalk is wet.
Justify,Thinking & Reasoning,To explain why an answer or choice makes sense using reasons or evidence,defend support,3,hard,I justify my answer with a reason from the text.
Elaborate,Communication & Discussion,To add details or explanation so an idea is clearer,explain more expand,3,hard,Elaborate on your answer by adding one more detail.
Persuade,Communication & Discussion,To try to convince someone to think or do something by giving reasons,convince influence,3,hard,The poster tries to persuade people to recycle.
Purpose,Thinking & Reasoning,"The reason something is done, made, or used",reason goal,2,medium,The purpose of a map is to show where places are.
Method,Thinking & Reasoning,A particular way of doing something,way process,2,medium,This method helps me solve addition facts.
Process,Thinking & Reasoning,A series of steps used to do or make something,steps method,2,medium,The process for washing hands includes several steps.
