Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence,Set
Calculate,Mathematics,To determine an answer using math,compute solve,3,hard,Maya used a number line to calculate the answer.,1
Decision,Thinking & Reasoning,A choice made after thinking,choice judgment,2,medium,Sam made a decision after hearing both ideas.,1
Demonstrate,Instructional Language,To show how something works,show illustrate,3,hard,The coach asked Leo to demonstrate the stretch.,1
Equation,Mathematics,A math statement showing two sides are equal,expression formula,3,hard,This equation shows that both sides have the same value.,1
Explain,Learning & Research,To make an idea clear and understandable,clarify describe,Pre-K,medium,Nora used a picture to explain her answer.,30
Gather,Instructional Language,To bring things together,collect assemble,1,easy,The students gather leaves for the science table.,1
Goal,Progress & Learning,Something you are trying to achieve,target objective,2,medium,Finishing one chapter each night was Lena's goal.,1
Infer,Learning & Research,To make a conclusion using clues and evidence,deduce conclude,4,hard,We can infer that it rained because the sidewalk is wet.,1
Learn,Progress & Learning,To gain knowledge or skills,study understand,1,medium,Kai likes to learn a new fact every morning.,1
Return,Instructional Language,To go back to a place or task,go back resume,1,easy,Please return the book to the shelf after reading.,1
Separate,Instructional Language,To move things apart,divide split,1,easy,The bins help us separate paper from plastic.,1
Species,Scientific Thinking,A group of similar living things that can reproduce,kind classification,4,hard,A robin is a species of bird.,1
Adapt,Scientific Thinking,To change in order to survive or succeed,adjust evolve,3,hard,Cactus plants adapt to hot dry places.,2
Along,Directional Language,Moving beside or following the length of something,beside following,2,medium,The ducklings walked along the pond.,2
Fossil,Scientific Thinking,The preserved remains or traces of ancient life,remains imprint,3,hard,The museum displayed a fossil from a dinosaur footprint.,2
Fraction,Mathematics,A number representing part of a whole,portion ratio,3,hard,One half is a fraction of a whole pizza.,2
Function,Scientific Thinking,The job or purpose of something,purpose role,4,hard,The stem's function is to hold up the flower.,2
Highlight,Instructional Language,To mark important information,emphasize mark,3,hard,I highlight the key details in yellow.,2
Multiply,Mathematics,To combine equal groups,times product,3,hard,We multiply three groups of four to get twelve.,2
Near,Directional Language,Close to something,close nearby,1,easy,The backpack is near the desk.,2
Practice,Progress & Learning,To do something repeatedly to get better at it,rehearse train,1,medium,Ava will practice reading the poem aloud.,2
Question,Learning & Research,Something asked to gain information,inquiry query,Pre-K,medium,Milo asked a question about the moon.,30
Remember,Progress & Learning,To keep information in your mind,recall retain,1,medium,I remember the song because we sang it yesterday.,2
Sort,Instructional Language,To place things into groups,categorize classify,1,easy,The class will sort the buttons by color.,2
Achievement,Progress & Learning,Something accomplished successfully,success accomplishment,3,hard,Learning to ride a bike was a big achievement.,3
Analyze,Learning & Research,To examine something carefully to understand it better,examine investigate,5,hard,Scientists analyze water samples from the pond.,3
Artifact,Scientific Thinking,An object made or used by humans in the past,relic object,4,hard,The clay pot is an artifact from long ago.,3
Between,Directional Language,In the middle of two things,middle among,1,easy,The pencil is between the notebook and the ruler.,3
Classify,Instructional Language,To sort things into groups,categorize sort,3,hard,We classify animals by what they eat.,3
Connection,Thinking & Reasoning,A link or association between things,relationship link,3,hard,There is a connection between exercise and strong muscles.,3
Organism,Scientific Thinking,A living thing,living thing creature,3,hard,A mushroom is an organism that grows in damp places.,3
Organize,Instructional Language,To arrange things in order,arrange sort,2,medium,Tia will organize her cards by subject.,3
Perspective,Thinking & Reasoning,A particular way of seeing something,viewpoint outlook,5,hard,From my perspective the tower looks very tall.,3
Topic,Reading & Writing,The subject being discussed or written about,subject theme,2,medium,The topic of our story is friendship.,3
Understand,Progress & Learning,To know the meaning of something,comprehend grasp,1,medium,I understand the rule after seeing an example.,3
Variable,Mathematics,A symbol that can represent different values,unknown placeholder,5,hard,In math x can be a variable.,3
Above,Directional Language,Higher than something else,over higher,1,easy,The clock hangs above the door.,4
Apply,Progress & Learning,To use knowledge in a real situation,use implement,4,hard,Jalen will apply the rule to a new problem.,4
Argument,Thinking & Reasoning,A set of reasons supporting an idea,claim reasoning,5,hard,Her argument included three strong reasons.,4
Around,Directional Language,On every side of something,surround encircle,1,easy,We walked around the puddle to keep our shoes dry.,4
Challenge,Progress & Learning,Something difficult that requires effort,difficulty obstacle,3,hard,The puzzle was a challenge for the whole team.,4
Continue,Instructional Language,To keep going,proceed persist,1,easy,Please continue reading until the timer rings.,4
Discuss,Communication & Discussion,To talk about a topic with others,talk converse,Pre-K,medium,Friends discuss how to solve the problem.,22
Interpret,Communication & Discussion,To explain the meaning of something,understand explain,4,hard,We interpret the graph by looking at its labels.,4
Pattern,Thinking & Reasoning,Something that repeats in a predictable way,sequence repetition,2,medium,The stripes make a pattern on the scarf.,4
Present,Communication & Discussion,To share information with an audience,show deliver,3,hard,Rosa will present her poster to the group.,4
Result,Learning & Research,The outcome of an action or experiment,outcome effect,3,hard,The result of mixing blue and yellow is green.,4
Skill,Progress & Learning,An ability learned through practice,ability talent,2,medium,Drawing maps is a skill that takes practice.,4
Add,Mathematics,To combine numbers to find a total,plus combine,K,easy,We add two apples to the basket.,32
Addition,Mathematics,The process of combining numbers,sum adding,1,easy,Addition helps us find the total number of shells.,5
Colon,Punctuation,A mark used to introduce a list or explanation,punctuation introduce,5,hard,Use a colon before the list of supplies.,5
Comma,Punctuation,A mark used to separate parts of a sentence,punctuation separator,2,medium,A comma can separate items in a list.,5
Equal,Mathematics,Having the same value,same equivalent,1,easy,Both sides are equal when they show five.,5
Exclamation Point,Punctuation,A mark used to show excitement or strong feeling,punctuation excitement,1,easy,An exclamation point can show a strong feeling.,5
Greater,Mathematics,Larger in amount or value,more larger,1,easy,Nine is greater than six.,5
Less,Mathematics,Smaller in amount or value,smaller fewer,1,easy,Three is less than seven.,5
Period,Punctuation,A mark used to end a sentence,punctuation end mark,K,easy,A period belongs at the end of this sentence.,40
Punctuation,Reading & Writing,Marks used to clarify writing such as periods and commas,writing marks symbols,1,easy,Punctuation helps readers understand writing.,5
Subtract,Mathematics,To take one number away from another,minus decrease,1,easy,We subtract two blocks from the tower.,5
Adjective,Reading & Writing,A word that describes a noun,descriptor modifier,2,medium,An adjective can make a sentence more vivid.,6
Adverb,Reading & Writing,A word that describes a verb adjective or another adverb,modifier descriptor,3,hard,An adverb tells how quickly the rabbit hopped.,6
Agree,Communication & Discussion,To share the same opinion,accept concur,1,medium,I agree that the blue design works best.,6
Compare,Learning & Research,To look for ways things are alike,match relate,2,medium,We compare the two leaves to see what is the same.,6
Contrast,Learning & Research,To look for ways things are different,differentiate distinguish,3,hard,The chart helps us contrast winter and summer.,6
Different,Thinking & Reasoning,Not the same,unlike distinct,1,medium,The two buttons are different colors.,6
Disagree,Communication & Discussion,To have a different opinion,oppose differ,2,medium,I disagree because I found a different clue.,6
Noun,Reading & Writing,A person place thing or idea,name word,1,easy,A noun names a person place thing or idea.,6
Pronoun,Reading & Writing,A word that takes the place of a noun,replacement word,2,medium,She used a pronoun instead of repeating the name.,6
Similar,Thinking & Reasoning,Having things in common,alike comparable,2,medium,The two stories are similar because both have dragons.,6
Verb,Reading & Writing,A word that shows action or a state of being,action word,1,easy,A verb tells what the dog does.,6
Capital,Reading & Writing,A large letter used at the start of certain words or sentences,uppercase letter,1,easy,A capital letter begins the name Sofia.,7
Cause,Thinking & Reasoning,Something that makes another thing happen,reason source,2,medium,The spilled water was the cause of the wet floor.,7
Conclude,Learning & Research,To reach a decision based on evidence,determine decide,4,hard,We conclude that the plant needs more sunlight.,7
Conclusion,Reading & Writing,The ending section that wraps up ideas,ending summary,4,hard,The conclusion wraps up the report.,7
