word,grade,set (week),definition,sentence
the,1,1,"used before a specific person, place, or thing",The dog ran to the gate.
of,1,1,shows that something belongs to or is part of something,I ate a piece of cake.
and,1,1,joins words or ideas together,Sam and Mia played outside.
that,1,1,"points to a person, place, thing, or idea",That book is mine.
cat,1,1,a small furry animal often kept as a pet,The cat slept on the rug.
mat,1,1,a flat piece of material placed on a floor,Wipe your shoes on the mat.
sat,1,1,was sitting,I sat beside my friend.
hat,1,1,something worn on the head,Dad wore a blue hat.
to,1,2,shows movement toward a place or person,We walked to school.
in,1,2,inside something or some place,The toy is in the box.
is,1,2,means that something exists or is a certain way,The sky is blue.
you,1,2,the person or people being spoken to,You can sit by me.
man,1,2,an adult male person,The man waved hello.
can,1,2,to be able to do something,I can tie my shoes.
ran,1,2,moved quickly on foot,The dog ran across the yard.
pan,1,2,a shallow container used for cooking,Mom cooked eggs in a pan.
than,1,3,used when comparing two things,My dog is bigger than yours.
it,1,3,a word used for a thing or animal already named,It is time to go.
he,1,3,a word used for a boy or man,He kicked the ball.
was,1,3,means something happened or was true in the past,The soup was hot.
map,1,3,a picture that shows where places are,We found the park on the map.
cap,1,3,a soft hat with a brim,He wore a red cap.
nap,1,3,a short sleep,The baby took a nap.
tap,1,3,to touch or hit something lightly,Tap the drum one time.
for,1,4,shows who or what something is meant to help or belong to,This gift is for you.
on,1,4,touching or resting above something,The book is on the desk.
are,1,4,means more than one thing exists or is a certain way,The apples are red.
as,1,4,used to compare or describe how something happens,She is as tall as me.
back,1,4,the rear part of something or the part behind you,My backpack is on my back.
sack,1,4,a large bag,We filled the sack with toys.
black,1,4,the darkest color,The cat has black fur.
snack,1,4,a small amount of food eaten between meals,I had an apple for a snack.
with,1,5,together with or having something,I went to the park with Dad.
his,1,5,belonging to a boy or man,That is his blue coat.
they,1,5,a word used for more than one person or thing,They are playing outside.
pit,1,5,a deep hole or the hard seed inside some fruits,The peach has a pit.
sit,1,5,to rest your body on a chair or other surface,Please sit beside me.
hit,1,5,"to touch something with a quick, strong movement",I hit the ball with the bat.
bit,1,5,a small piece or amount,I ate a bit of cheese.
fit,1,5,to be the right size or shape,These shoes fit my feet.
at,1,6,in or near a certain place or time,Meet me at the door.
be,1,6,to exist or become something,I want to be kind.
this,1,6,points to a person or thing that is nearby,This pencil is sharp.
have,1,6,"to own, hold, or get something",I have two sisters.
big,1,6,large in size,We saw a big truck.
pig,1,6,a farm animal with a snout,The pig rolled in the mud.
dig,1,6,to make a hole in the ground,We dig in the sand.
wig,1,6,false hair worn on the head,The clown wore a silly wig.
from,1,7,shows where something starts or comes from,This letter is from Grandma.
or,1,7,joins choices,Would you like milk or water?
one,1,7,the number 1,I have one red ball.
had,1,7,"owned, held, or experienced something in the past",We had fun at the park.
pin,1,7,a small sharp object used to fasten things,She used a pin to hold the cloth.
thin,1,7,not thick,The book has thin pages.
spin,1,7,to turn around and around,Spin the top on the floor.
skin,1,7,the outer covering of a person or animal,Wash the dirt off your skin.
by,1,8,near something or done through someone or something,Sit by me on the bench.
words,1,8,groups of letters or sounds that have meaning,We read new words today.
but,1,8,joins ideas that are different from each other,"I was tired, but I finished."
not,1,8,a word that makes an idea negative,The box is not heavy.
sick,1,8,not feeling healthy or well,I stayed home because I felt sick.
kick,1,8,to hit something with your foot,Kick the ball to me.
brick,1,8,a hard block used for building,The wall is made of brick.
stick,1,8,a thin piece of wood from a tree,I found a stick on the trail.
what,1,9,asks about a thing or idea,What is in the box?
all,1,9,every one or every part,We ate all the grapes.
were,1,9,means something happened or was true in the past for more than one,We were happy to see you.
we,1,9,the speaker and one or more other people,We walked home together.
hot,1,9,having a high temperature,The soup is hot.
pot,1,9,a deep container used for cooking,The soup cooked in a pot.
not,1,9,a word that makes an idea negative,The box is not heavy.
lot,1,9,a large amount or number,We saw a lot of birds.
when,1,10,asks or tells at what time something happens,When will the movie start?
your,1,10,belonging to the person being spoken to,Please bring your book.
pop,1,10,to make a quick bursting sound or to burst,The balloon may pop.
said,1,10,spoke words in the past,She said hello to me.
mop,1,10,a tool used to clean a floor,Dad used a mop on the floor.
top,1,10,the highest part of something,The bird sat on top of the fence.
hop,1,10,to jump on one foot or with both feet,The rabbit can hop fast.
drop,1,10,to let something fall,Do not drop the glass.
there,1,11,in or at that place,Put the bag over there.
use,1,11,to do something with a tool or object for a purpose,Use a pencil to write your name.
an,1,11,used before a word that begins with a vowel sound,I ate an orange.
each,1,11,every one by itself,Each child got a sticker.
job,1,11,work that a person does,Her job is to teach children.
mob,1,11,a large crowd of people,A mob gathered near the stage.
cob,1,11,the hard middle part of an ear of corn,Corn grows on a cob.
rob,1,11,to take something that is not yours,It is wrong to rob a store.
which,1,12,asks or tells what one from a group,Which book do you want?
she,1,12,a word used for a girl or woman,She drew a picture.
do,1,12,to perform an action or task,I will do my homework.
how,1,12,asks about the way something happens,How did you make that?
sock,1,12,a soft piece of clothing worn on the foot,I found my missing sock.
rock,1,12,a hard piece of stone,I skipped a rock on the pond.
block,1,12,a solid piece used for building or playing,The child stacked a block.
clock,1,12,a tool that shows the time,The clock says three o'clock.
their,1,13,belonging to them,Their dog likes to run.
if,1,13,shows that something depends on something else,We can play outside if it is dry.
will,1,13,shows that something is going to happen,I will call you tomorrow.
up,1,13,toward a higher place,We climbed up the hill.
cut,1,13,to divide something with a sharp tool,Cut the paper along the line.
nut,1,13,a seed with a hard shell that can be eaten,The squirrel carried a nut.
hut,1,13,a small simple house or shelter,We saw a hut near the beach.
shut,1,13,to close something,Please shut the door.
other,1,14,a different one or an additional one,Put the shoe on your other foot.
about,1,14,on the subject of something or close to a number,We read a book about space.
out,1,14,away from the inside,The puppy ran out the door.
many,1,14,a large number of,Many stars shine at night.
bug,1,14,a small insect,A bug crawled on the leaf.
hug,1,14,to hold someone closely with your arms,I gave Mom a hug.
rug,1,14,a piece of thick cloth that covers part of a floor,The dog slept on the rug.
mug,1,14,a cup with a handle,I drank cocoa from a mug.
then,1,15,at that time or next,"We ate dinner, then played a game."
them,1,15,a word used for people or things already named,Please give the books to them.
these,1,15,points to more than one nearby thing,These apples are sweet.
so,1,15,for that reason or to a certain degree,"It rained, so we stayed inside."
sun,1,15,the star that gives Earth light and heat,The sun is bright today.
run,1,15,to move quickly on your feet,I like to run at recess.
fun,1,15,something enjoyable,The game was fun.
bun,1,15,a small round bread roll,I put the burger on a bun.
some,1,16,"an amount or number, but not all",I ate some grapes.
her,1,16,belonging to or referring to a girl or woman,Her coat is purple.
would,1,16,used to talk about a possible or imagined action,I would help if you asked.
make,1,16,to create or build something,We will make a paper airplane.
duck,1,16,a water bird with a broad bill and webbed feet,The duck swam across the pond.
luck,1,16,good or bad things that happen by chance,We had good luck finding the toy.
suck,1,16,to pull liquid or air into the mouth,The baby can suck milk from a bottle.
stuck,1,16,unable to move from a place,The toy car was stuck in the mud.
like,1,17,to enjoy something or to say two things are similar,I like to read books.
him,1,17,a word used for a boy or man already named,I gave the ball to him.
into,1,17,from the outside to the inside,The frog jumped into the pond.
time,1,17,"what we measure in seconds, minutes, hours, days, and years",It is time for lunch.
pet,1,17,an animal kept for friendship,Our pet dog loves to play.
get,1,17,"to receive, obtain, or become something",I will get my coat.
wet,1,17,covered or soaked with water,My shoes got wet in the rain.
let,1,17,to allow something to happen,Please let me help.
has,1,18,"owns, holds, or experiences something",She has a new book.
look,1,18,to use your eyes to see something,Look at the rainbow.
two,1,18,the number 2,I have two hands.
more,1,18,a greater amount or number,May I have more water?
red,1,18,the color of a ripe strawberry,The wagon is red.
bed,1,18,a piece of furniture used for sleeping,I made my bed this morning.
fed,1,18,gave food to someone or something in the past,We fed the fish before school.
sled,1,18,a vehicle that slides over snow,We rode the sled down the hill.
write,1,19,"to make letters, words, or numbers",Write your name at the top.
go,1,19,to move from one place to another,We go to school each day.
see,1,19,to notice something with your eyes,I can see the moon.
number,1,19,a symbol or word that tells how many or which one,Seven is my favorite number.
men,1,19,more than one adult male,The men carried the table.
hen,1,19,an adult female chicken,The hen sat on her eggs.
pen,1,19,a tool that uses ink for writing,I wrote with a blue pen.
ten,1,19,the number 10,I can count to ten.
no,1,20,used to give a negative answer or show none,"No, I do not need help."
bell,1,20,a hollow object that rings when struck or shaken,The school bell rang.
could,1,20,was able to or might be able to,I could reach the shelf.
people,1,20,human beings,Many people came to the fair.
tell,1,20,to give someone information using words,Tell me about your day.
fell,1,20,moved downward to the ground in the past,The leaf fell from the tree.
sell,1,20,to give something to someone in exchange for money,They sell fruit at the market.
well,1,20,in a good or successful way,She reads very well.
my,1,21,belonging to me,My shoes are by the door.
ant,1,21,a small insect that lives in groups called colonies,An ant carried a crumb.
first,1,21,before all others in order,I was first in line.
water,1,21,"a clear liquid that people, animals, and plants need to live",Drink water after you play.
bad,1,21,not good or not wanted,The milk had a bad smell.
bat,1,21,a flying animal that is active mostly at night,A bat flew out of the cave.
glad,1,21,happy or pleased,I am glad you came.
mad,1,21,angry,He felt mad for a moment.
been,1,22,a form of be used for something that happened before now,I have been to that park.
called,1,22,named or spoke to someone in the past,I called my friend after school.
who,1,22,asks or tells which person,Who is at the door?
oil,1,22,"a slippery liquid used for cooking, fuel, or machines",We used oil to cook the vegetables.
win,1,22,to finish first or be the best in a contest,Our team hopes to win.
lip,1,22,the soft edge around the mouth,She bit her lower lip.
kid,1,22,a child,The kid rode a bike.
ship,1,22,a large boat that travels on water,The ship sailed across the sea.
dog,1,23,a common pet animal that barks,The dog wagged its tail.
now,1,23,at this time,We need to leave now.
find,1,23,to discover or locate something,Can you find the missing sock?
long,1,23,measuring a great distance from end to end,The rope is long.
mom,1,23,a mother,My mom read me a story.
fox,1,23,a wild animal with pointed ears and a bushy tail,The fox ran into the woods.
chop,1,23,"to cut something into pieces with quick, strong cuts",We chop the carrots for soup.
shop,1,23,"a place where things are sold, or to buy things",We went to the shop for bread.
down,1,24,toward a lower place,We walked down the stairs.
day,1,24,a period of 24 hours,Today is a sunny day.
did,1,24,performed an action in the past,I did my chores before dinner.
set,1,24,a group of things that belong together,I have a set of colored pencils.
bus,1,24,a large road vehicle that carries many passengers,We rode the bus to school.
truck,1,24,a large vehicle used to carry things,The truck carried boxes.
must,1,24,to have to do something,You must wear a helmet.
cup,1,24,a small container used for drinking,I filled my cup with water.
come,1,25,to move toward a place or person,Come sit beside me.
made,1,25,created or built in the past,We made a tower from blocks.
may,1,25,might happen or be allowed,We may go outside later.
part,1,25,one piece of a larger whole,This wheel is part of the bike.
web,1,25,a net of silk made by a spider,A spider built a web.
legs,1,25,the body parts used for standing and walking,The table has four legs.
less,1,25,a smaller amount or number,This cup has less water.
shell,1,25,a hard outer covering of some animals or eggs,The turtle pulled into its shell.
game,1,26,an activity with rules played for fun,We played a game after dinner.
