# set_id,truong-science-lab-basics
# title,Truong Science Lab Basics
# description,Common science experiment tools materials and actions
# theme,Science
Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence
Beaker,Scientific Thinking,A wide cup used to hold and mix liquids,container lab,1,medium,Pour the water into the beaker.
Flask,Scientific Thinking,A bottle with a narrow top used to hold and mix liquids,container lab,1,medium,The flask has a narrow top.
Water,Scientific Thinking,A clear liquid that people plants and animals need,liquid H2O,1,easy,We added water to the cup.
Hydrogen Peroxide,Scientific Thinking,A clear liquid that can make bubbles when mixed with some materials,chemical liquid,1,hard,Our teacher added hydrogen peroxide to the beaker.
Baking Soda,Scientific Thinking,A white powder used in cooking and science experiments,sodium bicarbonate powder,1,medium,We mixed baking soda with water.
Citric Acid,Scientific Thinking,A sour powder found in fruits such as lemons,acid citrus,1,hard,The teacher added citric acid to the mixture.
Test,Learning & Research,To try an idea and see what happens,try experiment,1,easy,We test what happens when the liquids mix.
Measure,Mathematics,To find how much or how big something is,amount size,1,easy,Measure two spoonfuls of water.
Dropper,Scientific Thinking,A small tool that moves liquid one drop at a time,pipette drops,1,medium,Use the dropper to add one drop.
Milliliter,Mathematics,A small unit used to measure liquids,mL volume,1,medium,The dropper holds one milliliter of water.
Funnel,Scientific Thinking,A tool that helps pour liquid into a small opening,pour tool,1,easy,The funnel helps us pour without spilling.
Cup,Scientific Thinking,A small container that can hold a liquid,container liquid,1,easy,Put the empty cup on the table.
Observe,Learning & Research,To watch carefully and notice what happens,watch notice,1,easy,Observe the bubbles in the cup.
